"prefecture","avg_temperature","high_temperature","low_temperature","latitude","longitude","altitude"
"niigata","11.778471525128818","38.1","-10.5","38.465","139.563333333","452.0"
"hokkaido_oshima--watashima","7.436695112490304","32.7","-15.8","42.5233333333","140.97","125.0"
"kagoshima","18.036124359653773","37.4","-15.2","32.0466666667","131.095","387.0"
"toyama","12.675218319425577","37.0","-10.4","36.9366666667","137.563333333","296.0"
"gifu","11.59366203118416","39.7","-21.6","36.3216666667","137.503333333","1015.0"
"aichi","14.551631663974149","38.7","-10.2","35.2166666667","137.518333333","505.0"
"ishikawa","12.651146788990827","37.0","-8.6","37.4466666667","137.286666667","219.0"
"hokkaido_iburi","5.848431441663732","32.4","-25.3","42.7616666667","142.143333333","390.0"
"kanagawa","14.942790697674427","38.1","-7.1","35.4383333333","139.651666667","42.0"
"nagasaki","15.652119385572624","38.0","-9.9","34.6983333333","130.361666667","677.5"
"nagano","9.327058823529413","37.2","-25.6","36.9116666667","138.546666667","1350.0"
"tokushima","14.398037790697671","37.2","-8.8","34.0666666667","134.741666667","560.0"
"hokkaido_kamikawa","4.270952782462059","34.0","-32.8","44.8283333333","142.753333333","350.0"
"hyogo","13.838541363592281","38.2","-10.2","35.625","135.223333333","540.0"
"okinawa","23.103389830508476","36.1","3.1","26.9483333333","131.326666667","232.0"
"tochigi","10.915632788701199","38.3","-16.4","37.0","140.116666667","1291.9"
"kumamoto","14.830344970047504","38.7","-14.4","33.115","131.125","1142.3"
"tottori","13.439654838084156","38.1","-15.7","35.5583333333","134.36","490.0"
"hokkaido_tokachi","4.376150627615062","33.1","-29.3","43.4683333333","143.738333333","540.0"
"shizuoka","13.494752960391992","38.6","-33.8","35.36","139.048333333","3775.1"
"shiga","13.148596718480144","36.6","-10.9","35.4233333333","136.343333333","265.0"
"fukushima","10.152880533656766","37.0","-19.4","37.8916666667","141.0","1220.0"
"hokkaido_nemuro","4.217349137931035","31.7","-27.3","44.0233333333","145.758333333","181.0"
"mie","14.670574935400518","38.6","-6.4","35.05","136.825","159.2"
"fukuoka","15.527236222653011","38.0","-8.3","33.8516666667","131.035","144.0"
"hokkaido_kushiro","3.982988691437803","32.3","-27.6","43.6166666667","145.11","450.0"
"nara","12.534272829763243","37.6","-7.6","34.6733333333","136.0","468.0"
"yamanashi","10.159710962284104","39.2","-33.8","35.8616666667","138.938333333","3775.1"
"hokkaido_sorachi","5.372281449893389","34.0","-26.5","43.815","142.19","293.0"
"hokkaido_hiyama","7.8362754607177445","33.2","-17.8","42.45","140.311666667","53.0"
"hokkaido_shiribeshi","6.263312775330395","33.6","-28.8","43.2716666667","141.015","440.0"
"kagawa","14.959413067552596","37.1","-5.3","34.4716666667","134.406666667","185.0"
"chiba","14.374783395836033","38.7","-7.4","35.8633333333","140.856666667","120.0"
"hiroshima","13.239138863381287","38.3","-13.8","35.0333333333","133.278333333","570.0"
"ehime","14.904424307036244","36.8","-9.8","34.25","133.581666667","511.0"
"saitama","13.661676356589142","37.9","-9.0","36.15","139.756666667","232.1"
"hokkaido_ishikari","6.225305410122165","34.4","-23.9","43.5816666667","141.691666667","290.0"
"hokkaido_rumoi","5.841580534022395","33.2","-28.9","44.8933333333","141.856666667","38.0"
"fukui","13.45308259015122","37.1","-9.2","36.2433333333","136.521666667","196.0"
"hokkaido_soya","4.574626865671644","31.9","-28.7","45.52","142.585","65.0"
"akita","9.299000894721143","37.6","-14.9","40.4133333333","140.84","578.0"
"iwate","8.872628799310197","35.2","-22.5","40.4033333333","141.965","760.0"
"miyagi","10.509990309223861","35.6","-15.6","38.9133333333","141.596666667","525.0"
"saga","15.359366925064597","38.5","-9.6","33.4583333333","130.305","81.0"
"kochi","15.202207130730056","38.1","-8.9","33.765","134.176666667","550.0"
"oita","14.798462134918582","38.7","-10.5","33.675","131.923333333","435.0"
"kyoto","13.701990774459821","37.9","-9.8","35.7366666667","135.76","200.0"
"wakayama","14.407377447015051","38.4","-12.8","34.31","135.97","795.0"
"yamagata","10.005390383767093","37.3","-15.1","39.1833333333","140.516666667","440.0"
"hokkaido_hidaka","5.830627574509332","33.4","-23.9","42.8766666667","143.243333333","280.0"
"gunma","11.033288570575944","39.6","-15.6","36.8633333333","139.531666667","1230.0"
"osaka","14.71868131868132","38.1","-8.8","34.9483333333","135.676666667","626.0"
"tokyo","16.343679896462472","38.1","-8.4","35.7916666667","153.983333333","530.0"
"yamaguchi","14.397733333333333","37.8","-10.5","34.615","132.293333333","310.0"
"miyazaki","15.67964962802976","37.8","-12.0","32.7116666667","131.82","590.0"
"ibaraki","13.052331920048458","37.4","-9.1","36.8333333333","140.771666667","120.0"
"hokkaido_okhotsk","4.216125903720682","34.1","-28.9","44.58","144.981666667","475.0"
"aomori","8.406653735874512","35.9","-15.9","41.5266666667","141.521666667","890.0"
"okayama","13.05940150230191","38.1","-13.7","35.2966666667","134.325","525.0"
"shimane","13.266884442629637","37.4","-11.5","36.2033333333","133.333333333","444.0"
